,Item_Outlet_Sales,Item_Identifier,Outlet_Identifier
0,1661.4324,FDW58,OUT049
1,1406.8914,FDW14,OUT017
2,571.62756,NCN55,OUT010
3,2559.5024,FDQ58,OUT017
4,6096.7207,FDY38,OUT027
5,1854.5482,FDH56,OUT046
6,606.18445,FDL48,OUT018
7,2229.6252,FDC48,OUT027
8,1469.2511,FDN33,OUT045
9,3210.8032,FDA36,OUT017
10,1895.47,FDT44,OUT017
11,1299.878,FDQ56,OUT045
12,561.1561,NCC54,OUT019
13,2164.208,FDU11,OUT049
14,833.81616,DRL59,OUT013
15,2478.6667,FDM24,OUT049
16,3031.4893,FDI57,OUT045
17,2900.3743,DRC12,OUT018
18,2903.397,NCM42,OUT027
19,526.6155,FDA46,OUT010
20,2873.4338,FDA31,OUT013
21,3820.4556,NCJ31,OUT035
22,734.73975,FDG52,OUT046
23,373.87683,NCL19,OUT019
24,3054.7217,FDS10,OUT035
25,612.15955,FDX22,OUT010
26,846.1216,NCF19,OUT035
27,2496.3823,NCE06,OUT046
28,3872.6516,DRC27,OUT046
29,2048.4487,FDE21,OUT035
30,12.426791,NCR42,OUT019
31,2810.6707,FDX51,OUT018
32,453.25314,NCR06,OUT018
33,5587.0547,FDU31,OUT027
34,2560.9177,FDU59,OUT017
35,5569.657,FDR03,OUT027
36,2242.4338,FDS49,OUT027
37,316.16544,FDD48,OUT010
38,3159.1875,NCF18,OUT017
39,2693.5034,NCD43,OUT027
40,1701.0698,NCD54,OUT018
41,307.55188,FDY19,OUT010
42,2847.441,NCY54,OUT017
43,2171.9065,NCL19,OUT018
44,524.7378,FDP23,OUT010
45,1853.5305,FDC26,OUT013
46,98.60139,FDR14,OUT010
47,3276.595,NCS41,OUT035
48,3713.2312,FDF41,OUT035
49,1955.1876,FDU34,OUT046
50,834.8233,DRH11,OUT046
51,1669.3455,FDM03,OUT013
52,3065.0505,FDS31,OUT017
53,2006.3052,FDJ20,OUT017
54,5107.58,FDV44,OUT027
55,3186.8862,FDG02,OUT049
56,3144.8713,FDA09,OUT013
57,678.44916,FDT04,OUT013
58,474.5414,FDL58,OUT019
59,1394.8041,FDE52,OUT045
60,2548.0786,FDW12,OUT035
61,3545.232,FDL51,OUT017
62,3396.6038,NCY42,OUT027
63,1533.5005,FDR07,OUT017
64,2391.8997,FDN40,OUT045
65,2480.3105,FDB35,OUT027
66,2638.3325,FDA22,OUT017
67,4097.711,NCL06,OUT046
68,3112.2026,FDI35,OUT013
69,3655.4146,NCW42,OUT045
70,3053.9119,NCX06,OUT049
71,2689.9167,FDC37,OUT027
72,1756.7705,FDZ14,OUT018
73,4013.857,DRG49,OUT049
74,4047.0671,NCG06,OUT045
75,2842.4187,DRC36,OUT045
76,326.11124,FDV21,OUT019
77,2451.5627,FDB53,OUT046
78,614.6345,DRP47,OUT019
79,2502.5508,FDA14,OUT013
80,2564.4856,DRC24,OUT035
81,1427.0406,FDW21,OUT018
82,1581.5531,NCH29,OUT046
83,3170.5022,FDU58,OUT013
84,3020.2512,FDY27,OUT017
85,1729.2932,FDV56,OUT035
86,3875.6055,FDT59,OUT046
87,3658.409,FDB23,OUT046
88,740.51587,FDR49,OUT045
89,548.8757,FDB03,OUT010
90,2692.886,FDN39,OUT045
91,5734.011,FDX02,OUT027
92,2712.7063,FDQ16,OUT027
93,1391.5715,FDU35,OUT018
94,2059.2346,NCT29,OUT013
95,741.7683,FDZ27,OUT046
96,2117.0793,FDN57,OUT017
97,2131.0674,FDA03,OUT018
98,3075.8838,FDZ36,OUT045
99,1242.8986,NCU05,OUT013
100,2097.7693,FDT39,OUT018
101,1524.3706,FDK60,OUT017
102,2835.1987,FDZ25,OUT017
103,2002.737,FDG12,OUT046
104,531.69415,DRB01,OUT019
105,6060.5654,NCC43,OUT027
106,807.963,FDX13,OUT019
107,917.1261,FDM22,OUT049
108,1350.2283,FDJ03,OUT027
109,3560.4167,FDU14,OUT018
110,395.5863,FDB33,OUT010
111,3098.2083,FDP27,OUT046
112,214.81781,FDO38,OUT010
113,6141.8867,FDE28,OUT027
114,1488.4999,FDO27,OUT035
115,2693.5034,DRL23,OUT027
116,877.72375,FDS28,OUT046
117,1529.5328,FDX24,OUT013
118,1576.7405,FDZ02,OUT035
119,1807.1086,FDL46,OUT045
120,4778.895,FDS60,OUT027
121,658.2498,NCO06,OUT017
122,1433.5227,FDO16,OUT035
123,1480.0023,FDC60,OUT049
124,3258.9583,FDA48,OUT018
125,5329.306,FDZ36,OUT027
126,1983.6064,FDK27,OUT045
127,410.3531,FDW23,OUT018
128,1537.4663,FDM14,OUT018
129,1690.9926,FDM14,OUT013
130,2600.7388,FDW60,OUT018
131,1946.2092,FDE21,OUT013
132,1713.5044,NCM42,OUT035
133,234.7581,FDY59,OUT010
134,1297.2192,DRI49,OUT049
135,375.32632,FDT28,OUT019
136,447.7653,FDQ22,OUT018
137,1332.4045,FDR60,OUT049
138,252.78252,FDC50,OUT019
139,2396.4917,FDV24,OUT013
140,437.8662,DRF48,OUT010
141,636.3646,FDQ47,OUT046
142,1549.7488,DRN36,OUT049
143,2125.3591,NCY06,OUT035
144,1485.2361,FDE52,OUT035
145,2001.9329,NCB54,OUT045
146,2531.325,NCF31,OUT035
147,5021.398,FDJ08,OUT027
148,1652.1959,NCC07,OUT017
149,1731.8418,NCD19,OUT027
150,1895.8213,FDL46,OUT049
151,3842.0942,FDM20,OUT045
152,415.43546,NCI06,OUT010
153,4149.5903,DRM11,OUT035
154,2356.482,NCH07,OUT018
155,2127.5005,FDS23,OUT013
156,600.76575,FDO49,OUT018
157,1097.1613,FDS35,OUT049
158,1265.233,DRK39,OUT045
159,926.0889,DRI39,OUT049
160,2624.2412,FDV04,OUT017
161,3212.6313,NCN14,OUT035
162,3903.586,FDH08,OUT013
163,3128.4487,FDS20,OUT046
164,1194.7762,FDV40,OUT049
165,287.10583,FDZ48,OUT010
166,2418.19,FDS24,OUT027
167,2902.4685,FDK44,OUT049
168,2475.0803,FDS48,OUT045
169,507.25616,FDK26,OUT010
170,3102.8171,FDD23,OUT045
171,2708.3591,NCH54,OUT017
172,274.49576,NCP14,OUT010
173,72.68507,FDM60,OUT010
174,2414.35,FDV24,OUT017
175,3295.1453,FDH08,OUT018
176,3288.845,FDS12,OUT027
177,4775.0967,FDR39,OUT027
178,1052.2288,FDP12,OUT027
179,6095.1157,DRF60,OUT027
180,1730.3472,FDC09,OUT035
181,2974.3025,FDF50,OUT018
182,4038.322,FDG28,OUT035
183,915.4581,NCE19,OUT017
184,290.84558,NCM53,OUT010
185,1797.8431,NCN18,OUT049
186,3232.5435,FDF32,OUT035
187,4006.5513,FDF11,OUT013
188,3861.1084,DRI59,OUT049
189,2779.308,NCG54,OUT035
190,1623.398,FDM44,OUT046
191,3410.0037,FDT57,OUT018
192,2349.8147,FDV24,OUT046
193,636.286,FDI50,OUT019
194,802.57086,FDS09,OUT035
195,3813.221,NCC31,OUT027
196,587.1613,FDQ07,OUT019
197,3175.9023,FDC22,OUT017
198,2711.94,FDZ56,OUT046
199,161.44035,FDZ40,OUT019
200,3036.9304,FDS46,OUT027
201,2116.9995,DRD24,OUT045
202,3273.7988,FDV45,OUT017
203,2414.227,FDL26,OUT045
204,1752.2743,FDA56,OUT018
205,1739.835,FDN27,OUT046
206,4008.1853,FDM20,OUT049
207,1400.7,FDO16,OUT017
208,3236.4402,FDL03,OUT035
209,1823.727,FDE58,OUT046
210,3032.2034,FDI02,OUT027
211,48.567417,NCC55,OUT019
212,3097.5605,FDR03,OUT018
213,1512.6066,FDB14,OUT017
214,4000.927,FDR45,OUT013
215,2161.337,NCN07,OUT017
216,326.0404,FDM51,OUT019
217,6116.2803,FDT52,OUT027
218,2420.3171,FDL26,OUT046
219,3888.206,NCZ42,OUT046
220,422.74118,DRI47,OUT019
221,2169.2625,FDW40,OUT013
222,2871.3445,FDN34,OUT046
223,2975.4387,FDS01,OUT035
224,1879.6077,NCG55,OUT045
225,1324.7878,FDC11,OUT035
226,3295.5798,FDX35,OUT018
227,2625.576,NCB06,OUT046
228,575.81476,FDR09,OUT019
229,1588.1638,FDC53,OUT017
230,4385.819,FDY45,OUT013
231,373.22977,FDA22,OUT010
232,1534.2904,FDE02,OUT035
233,1620.9294,FDW21,OUT045
234,1116.2148,FDV34,OUT046
235,1702.3251,FDS59,OUT049
236,2143.752,NCW17,OUT017
237,1863.8674,NCK54,OUT046
238,632.9108,FDG17,OUT019
239,2921.1948,FDG35,OUT017
240,-2.961204,FDD08,OUT010
241,3633.3992,NCO07,OUT017
242,364.46658,FDJ10,OUT010
243,1690.2483,FDW36,OUT017
244,282.67352,FDW21,OUT010
245,1963.8016,FDY19,OUT017
246,777.81134,DRE03,OUT013
247,711.7002,NCC55,OUT049
248,94.86101,FDH52,OUT010
249,4470.1987,FDO09,OUT017
250,3830.1675,FDU43,OUT045
251,421.60068,FDX09,OUT010
252,235.6537,FDH40,OUT019
253,1702.9188,FDW58,OUT017
254,3939.7236,FDC47,OUT017
255,1580.294,NCR41,OUT035
256,4003.263,DRG49,OUT035
257,3801.0703,FDC52,OUT027
258,1103.8438,FDY13,OUT046
259,692.2283,FDY35,OUT013
260,3387.8867,FDI35,OUT017
261,2173.03,NCU18,OUT049
262,2408.4692,FDY33,OUT018
263,4009.806,FDC15,OUT027
264,3260.4155,FDU01,OUT049
265,2693.0957,NCU42,OUT046
266,2594.809,NCV29,OUT018
267,3278.648,NCY30,OUT017
268,1874.1254,FDQ46,OUT049
269,3765.2056,FDG58,OUT027
270,3657.9326,FDK33,OUT017
271,1831.5636,NCD07,OUT045
272,3759.5337,NCX29,OUT027
273,2470.91,NCT42,OUT013
274,834.59485,DRN59,OUT035
275,1310.1964,FDI44,OUT035
276,2368.743,FDA45,OUT049
277,840.7779,FDP31,OUT045
278,1815.4497,FDY01,OUT046
279,1837.6796,FDT09,OUT018
280,2593.1445,DRH03,OUT027
281,2784.0647,FDA36,OUT018
282,2531.325,NCF31,OUT017
283,2506.74,FDG14,OUT049
284,6126.944,FDG28,OUT027
285,4009.0935,FDU14,OUT049
286,352.71542,FDY47,OUT019
287,1443.094,FDI56,OUT049
288,880.4872,DRD01,OUT013
289,892.1799,FDM22,OUT046
290,679.6687,FDH33,OUT013
291,1911.8057,DRZ24,OUT013
292,1620.6887,NCQ38,OUT046
293,2254.5623,FDO16,OUT027
294,3751.145,FDU07,OUT027
295,3114.0647,NCB07,OUT013
296,2025.9484,FDU48,OUT045
297,2630.7197,NCM43,OUT045
298,276.6271,FDR31,OUT010
299,447.15216,DRK49,OUT018
300,539.5186,NCI30,OUT010
301,3142.2456,DRD60,OUT017
302,3764.5027,NCG19,OUT046
303,1667.379,FDH12,OUT035
304,1564.9491,FDM32,OUT035
305,2510.8516,FDM27,OUT035
306,4110.8896,NCU53,OUT027
307,1557.4181,NCQ18,OUT046
308,2930.0027,FDS10,OUT013
309,4099.3076,FDB33,OUT027
310,1366.0508,FDI12,OUT013
311,3737.99,NCW42,OUT013
312,1774.4116,NCC06,OUT018
313,2486.1992,FDW02,OUT017
314,1729.6699,NCD43,OUT017
315,1065.6713,FDM57,OUT018
316,3940.2383,FDA58,OUT017
317,3098.2083,FDK56,OUT046
318,3915.3381,FDP52,OUT045
319,1847.7341,FDW20,OUT018
320,1691.6338,FDS52,OUT049
321,1724.306,NCT29,OUT018
322,2923.581,NCL54,OUT013
323,3118.9854,FDC05,OUT045
324,3211.979,FDF34,OUT035
325,3258.1265,FDP03,OUT027
326,235.72067,FDD32,OUT010
327,2024.6204,FDZ10,OUT045
328,949.6104,FDZ40,OUT035
329,507.25818,FDD51,OUT018
330,426.3182,NCY30,OUT019
331,3569.3755,FDP58,OUT017
332,4158.7456,FDV49,OUT017
333,157.69676,FDY24,OUT019
334,1678.3748,NCO55,OUT017
335,1968.5693,FDR13,OUT017
336,1035.329,FDS51,OUT017
337,1602.8158,FDP26,OUT045
338,3204.7363,NCB54,OUT027
339,3232.5435,FDF32,OUT017
340,2787.7275,FDN31,OUT018
341,656.7881,DRM48,OUT017
342,2697.6719,FDN20,OUT049
343,4022.9412,DRL01,OUT046
344,1691.704,FDV56,OUT049
345,2746.9448,DRH13,OUT027
346,2534.3716,FDA03,OUT017
