,Item_Outlet_Sales,Item_Identifier,Outlet_Identifier
0,1656.7927,FDW58,OUT049
1,1425.8256,FDW14,OUT017
2,559.7102,NCN55,OUT010
3,2548.5867,FDQ58,OUT017
4,6096.0776,FDY38,OUT027
5,1846.8392,FDH56,OUT046
6,616.8588,FDL48,OUT018
7,2228.7659,FDC48,OUT027
8,1479.6282,FDN33,OUT045
9,3223.044,FDA36,OUT017
10,1912.8134,FDT44,OUT017
11,1302.5603,FDQ56,OUT045
12,559.7102,NCC54,OUT019
13,2158.1921,FDU11,OUT049
14,840.1047,DRL59,OUT013
15,2474.0193,FDM24,OUT049
16,3012.832,FDI57,OUT045
17,2869.8572,DRC12,OUT018
18,2848.5212,NCM42,OUT027
19,503.2689,FDA46,OUT010
20,2873.5146,FDA31,OUT013
21,3792.3533,NCJ31,OUT035
22,748.8654,FDG52,OUT046
23,371.0689,NCL19,OUT019
24,3050.012,FDS10,OUT035
25,688.1663,FDX22,OUT010
26,854.3217,NCF19,OUT035
27,2518.3599,NCE06,OUT046
28,3885.9326,DRC27,OUT046
29,2014.9918,FDE21,OUT035
30,26.962843,NCR42,OUT019
31,2837.8367,FDX51,OUT018
32,444.55273,NCR06,OUT018
33,5476.5273,FDU31,OUT027
34,2574.7532,FDU59,OUT017
35,5696.0063,FDR03,OUT027
36,2226.0005,FDS49,OUT027
37,326.97336,FDD48,OUT010
38,3165.0593,NCF18,OUT017
39,2699.9211,NCD43,OUT027
40,1704.2874,NCD54,OUT018
41,317.99728,FDY19,OUT010
42,2822.0215,NCY54,OUT017
43,2153.778,NCL19,OUT018
44,502.7079,FDP23,OUT010
45,1826.8875,FDC26,OUT013
46,-3.396113,FDR14,OUT010
47,3246.088,NCS41,OUT035
48,3775.4172,FDF41,OUT035
49,1977.3157,FDU34,OUT046
50,872.183,DRH11,OUT046
51,1670.6213,FDM03,OUT013
52,3053.661,FDS31,OUT017
53,2042.5654,FDJ20,OUT017
54,5087.9805,FDV44,OUT027
55,3214.505,FDG02,OUT049
56,3099.1929,FDA09,OUT013
57,695.55804,FDT04,OUT013
58,518.6569,FDL58,OUT019
59,1377.1787,FDE52,OUT045
60,2553.1904,FDW12,OUT035
61,3547.1494,FDL51,OUT017
62,3416.959,NCY42,OUT027
63,1121.3937,FDR07,OUT017
64,2366.8777,FDN40,OUT045
65,2497.7441,FDB35,OUT027
66,2653.982,FDA22,OUT017
67,4145.5454,NCL06,OUT046
68,3054.527,FDI35,OUT013
69,3616.1526,NCW42,OUT045
70,3086.6873,NCX06,OUT049
71,2697.1558,FDC37,OUT027
72,1765.886,FDZ14,OUT018
73,3948.7234,DRG49,OUT049
74,4062.439,NCG06,OUT045
75,2836.368,DRC36,OUT045
76,382.2459,FDV21,OUT019
77,2446.0774,FDB53,OUT046
78,689.0754,DRP47,OUT019
79,2494.3662,FDA14,OUT013
80,2539.078,DRC24,OUT035
81,1431.4855,FDW21,OUT018
82,1568.1798,NCH29,OUT046
83,3172.9238,FDU58,OUT013
84,3008.559,FDY27,OUT017
85,1730.0074,FDV56,OUT035
86,3886.6602,FDT59,OUT046
87,3656.249,FDB23,OUT046
88,727.26324,FDR49,OUT045
89,493.84702,FDB03,OUT010
90,2661.8135,FDN39,OUT045
91,5692.204,FDX02,OUT027
92,2730.6216,FDQ16,OUT027
93,1379.1539,FDU35,OUT018
94,2070.442,NCT29,OUT013
95,740.3202,FDZ27,OUT046
96,2128.3433,FDN57,OUT017
97,2116.8845,FDA03,OUT018
98,3085.0063,FDZ36,OUT045
99,1228.8589,NCU05,OUT013
100,2096.7554,FDT39,OUT018
101,1544.1205,FDK60,OUT017
102,2829.394,FDZ25,OUT017
103,1999.8441,FDG12,OUT046
104,517.8594,DRB01,OUT019
105,6063.6914,NCC43,OUT027
106,729.81006,FDX13,OUT019
107,894.31866,FDM22,OUT049
108,1369.6644,FDJ03,OUT027
109,3533.3005,FDU14,OUT018
110,372.407,FDB33,OUT010
111,3105.8738,FDP27,OUT046
112,261.59702,FDO38,OUT010
113,6096.0776,FDE28,OUT027
114,1492.8546,FDO27,OUT035
115,2699.9211,DRL23,OUT027
116,897.5054,FDS28,OUT046
